Activity_ID,User_ID,Track_ID,Genre,Is_Liked,Is_Subscribed,Comments_Count,Is_Added_To_Playlist
1,1,Track_938,Jazz,1,1,1,1
2,1,Track_901,Jazz,1,0,5,1
3,1,Track_951,Jazz,1,0,2,1
4,1,Track_924,Jazz,1,1,5,1
5,1,Track_873,Jazz,1,1,4,0
6,1,Track_887,Jazz,1,1,3,1
7,1,Track_914,Jazz,0,1,5,1
8,1,Track_885,Jazz,1,1,2,0
9,1,Track_918,Jazz,1,1,4,1
10,1,Track_999,Jazz,1,1,3,1
11,1,Track_975,Jazz,1,0,3,1
12,1,Track_969,Jazz,1,1,4,1
13,1,Track_865,Jazz,1,0,2,1
14,1,Track_931,Jazz,1,1,2,1
15,1,Track_988,Jazz,1,0,2,1
16,1,Track_887,Jazz,1,0,3,1
17,1,Track_860,Jazz,1,1,5,0
18,1,Track_932,Jazz,1,0,2,1
19,1,Track_940,Jazz,1,1,2,1
20,1,Track_930,Jazz,1,0,4,1
21,1,Track_973,Jazz,1,1,4,1
22,1,Track_878,Jazz,1,0,1,1
23,1,Track_168,Hiphop,1,1,1,1
24,1,Track_219,Hiphop,0,0,1,1
25,1,Track_198,Hiphop,0,0,1,1
26,1,Track_250,Hiphop,1,1,0,0
27,1,Track_261,Hiphop,1,0,0,0
28,1,Track_190,Hiphop,0,1,1,1
29,1,Track_200,Hiphop,1,0,1,0
30,1,Track_204,Hiphop,0,0,1,1
31,1,Track_231,Hiphop,0,1,1,0
32,1,Track_207,Hiphop,1,1,1,1
33,1,Track_275,Hiphop,0,0,1,0
34,1,Track_206,Hiphop,1,0,0,1
35,1,Track_271,Hiphop,0,0,0,0
36,1,Track_210,Hiphop,1,1,1,0
37,1,Track_162,Hiphop,1,0,1,1
38,1,Track_260,Hiphop,1,1,1,0
39,1,Track_266,Hiphop,0,0,0,0
40,1,Track_278,Hiphop,1,0,1,0
41,1,Track_167,Hiphop,1,0,1,0
42,1,Track_224,Hiphop,1,1,0,0
43,1,Track_273,Hiphop,1,0,1,0
44,1,Track_182,Hiphop,1,0,1,1
45,1,Track_789,Ballad,0,0,0,0
46,1,Track_721,Ballad,0,0,0,0
47,1,Track_345,Rock,1,0,0,0
48,1,Track_482,Classic,0,0,0,0
49,1,Track_788,Ballad,0,0,0,0
50,1,Track_467,Classic,0,0,0,0
51,1,Track_314,Rock,0,0,0,0
52,1,Track_656,EDM,0,0,0,0
53,1,Track_790,Ballad,0,0,0,0
54,1,Track_798,Ballad,1,0,0,0
55,1,Track_397,Rock,0,0,0,0
56,1,Track_11,Pop,0,0,0,0
57,1,Track_356,Rock,0,0,0,0
58,1,Track_653,EDM,0,0,0,0
59,1,Track_787,Ballad,0,0,0,0
60,1,Track_67,Pop,1,0,0,0
61,2,Track_817,Ballad,1,0,4,1
62,2,Track_764,Ballad,1,1,1,1
63,2,Track_846,Ballad,1,1,2,0
64,2,Track_778,Ballad,1,1,5,0
65,2,Track_845,Ballad,1,1,2,1
66,2,Track_800,Ballad,1,1,1,1
67,2,Track_793,Ballad,1,1,3,0
68,2,Track_769,Ballad,1,1,1,1
69,2,Track_819,Ballad,0,1,4,1
70,2,Track_746,Ballad,1,1,5,1
71,2,Track_784,Ballad,1,1,2,1
72,2,Track_830,Ballad,1,1,1,0
73,2,Track_720,Ballad,1,1,4,0
74,2,Track_759,Ballad,1,0,3,0
75,2,Track_818,Ballad,0,1,1,1
76,2,Track_744,Ballad,1,0,1,0
77,2,Track_786,Ballad,1,0,4,1
78,2,Track_842,Ballad,1,0,5,1
79,2,Track_787,Ballad,1,0,1,1
80,2,Track_800,Ballad,1,0,3,0
81,2,Track_742,Ballad,0,1,1,1
82,2,Track_757,Ballad,0,1,1,1
83,2,Track_137,Pop,1,0,1,0
84,2,Track_672,EDM,1,0,0,1
85,2,Track_76,Pop,1,0,1,1
86,2,Track_81,Pop,0,0,0,1
87,2,Track_608,EDM,1,1,0,1
88,2,Track_582,EDM,0,0,0,1
89,2,Track_610,EDM,1,1,1,1
90,2,Track_87,Pop,1,0,1,0
91,2,Track_113,Pop,1,0,0,1
92,2,Track_593,EDM,0,0,0,0
93,2,Track_72,Pop,1,0,1,1
94,2,Track_710,EDM,0,0,0,1
95,2,Track_58,Pop,0,0,0,0
96,2,Track_99,Pop,0,1,1,1
97,2,Track_614,EDM,0,0,1,1
98,2,Track_40,Pop,1,0,1,0
99,2,Track_631,EDM,0,1,0,1
100,2,Track_88,Pop,0,0,1,1
101,2,Track_8,Pop,1,0,1,0
102,2,Track_585,EDM,1,0,0,0
103,2,Track_113,Pop,1,1,1,0
104,2,Track_80,Pop,0,0,0,1
105,2,Track_187,Hiphop,0,0,0,0
106,2,Track_391,Rock,0,0,0,0
107,2,Track_959,Jazz,0,0,0,0
108,2,Track_944,Jazz,0,0,0,0
109,2,Track_357,Rock,0,0,0,0
110,2,Track_260,Hiphop,0,0,0,0
111,2,Track_211,Hiphop,0,0,0,0
112,2,Track_244,Hiphop,0,0,0,0
113,2,Track_274,Hiphop,0,0,0,0
114,2,Track_527,Classic,0,0,0,0
115,2,Track_347,Rock,0,0,0,0
116,2,Track_483,Classic,0,0,0,0
117,2,Track_479,Classic,0,0,0,0
118,2,Track_314,Rock,0,0,0,0
119,2,Track_228,Hiphop,0,0,0,0
120,2,Track_946,Jazz,0,0,0,0
121,3,Track_462,Classic,1,0,1,1
122,3,Track_524,Classic,1,1,1,1
123,3,Track_431,Classic,1,1,2,1
124,3,Track_487,Classic,1,0,2,0
125,3,Track_443,Classic,1,1,4,1
126,3,Track_463,Classic,0,0,3,1
127,3,Track_553,Classic,1,0,3,1
128,3,Track_542,Classic,1,1,4,1
129,3,Track_566,Classic,1,1,2,1
130,3,Track_473,Classic,0,0,3,1
131,3,Track_475,Classic,1,1,2,1
132,3,Track_452,Classic,1,0,5,1
133,3,Track_541,Classic,1,1,2,0
134,3,Track_511,Classic,1,1,4,0
135,3,Track_550,Classic,1,1,4,1
136,3,Track_454,Classic,0,1,3,0
137,3,Track_448,Classic,1,1,4,0
138,3,Track_489,Classic,1,0,1,1
139,3,Track_529,Classic,0,1,3,1
140,3,Track_469,Classic,1,0,3,1
141,3,Track_492,Classic,1,1,4,1
142,3,Track_495,Classic,1,1,3,1
143,3,Track_423,Rock,0,0,1,0
144,3,Track_322,Rock,1,0,0,1
145,3,Track_322,Rock,0,0,1,1
146,3,Track_395,Rock,0,0,1,0
147,3,Track_294,Rock,1,0,0,0
148,3,Track_406,Rock,1,1,0,0
149,3,Track_408,Rock,1,0,0,1
150,3,Track_288,Rock,0,1,1,0
151,3,Track_353,Rock,1,0,0,0
152,3,Track_335,Rock,1,1,1,0
153,3,Track_354,Rock,1,1,0,1
154,3,Track_396,Rock,0,1,1,1
155,3,Track_329,Rock,1,0,1,1
156,3,Track_396,Rock,0,0,0,1
157,3,Track_322,Rock,1,0,0,1
158,3,Track_300,Rock,0,0,1,0
159,3,Track_398,Rock,0,0,1,0
160,3,Track_331,Rock,0,0,0,0
161,3,Track_354,Rock,1,1,0,1
162,3,Track_402,Rock,0,0,0,1
163,3,Track_396,Rock,0,0,1,0
164,3,Track_314,Rock,1,1,0,1
165,3,Track_950,Jazz,0,0,0,0
166,3,Track_816,Ballad,0,0,0,0
167,3,Track_583,EDM,0,0,0,0
168,3,Track_616,EDM,0,0,0,0
169,3,Track_111,Pop,0,0,0,0
170,3,Track_283,Hiphop,0,0,0,0
171,3,Track_906,Jazz,0,0,0,0
172,3,Track_905,Jazz,0,0,0,0
173,3,Track_246,Hiphop,0,0,0,0
174,3,Track_757,Ballad,0,0,0,0
175,3,Track_44,Pop,0,0,0,0
176,3,Track_214,Hiphop,0,0,0,0
177,3,Track_791,Ballad,0,0,0,0
178,3,Track_35,Pop,0,0,0,0
179,3,Track_801,Ballad,0,0,0,0
180,3,Track_262,Hiphop,0,0,0,0
181,4,Track_992,Jazz,1,1,5,1
182,4,Track_870,Jazz,1,1,4,0
183,4,Track_964,Jazz,1,1,3,1
184,4,Track_925,Jazz,0,1,5,1
185,4,Track_890,Jazz,0,1,2,1
186,4,Track_863,Jazz,0,0,5,1
187,4,Track_965,Jazz,1,1,1,1
188,4,Track_896,Jazz,1,1,2,1
189,4,Track_976,Jazz,1,0,5,1
190,4,Track_907,Jazz,1,1,2,1
191,4,Track_892,Jazz,1,1,4,1
192,4,Track_985,Jazz,1,1,5,1
193,4,Track_935,Jazz,0,1,4,1
194,4,Track_939,Jazz,1,1,1,1
195,4,Track_862,Jazz,1,0,5,1
196,4,Track_1000,Jazz,1,1,5,1
197,4,Track_925,Jazz,1,1,5,1
198,4,Track_868,Jazz,1,1,5,1
199,4,Track_982,Jazz,1,1,1,1
200,4,Track_867,Jazz,0,1,3,1
201,4,Track_934,Jazz,1,1,5,0
202,4,Track_968,Jazz,1,0,1,1
203,4,Track_292,Rock,0,0,0,1
204,4,Track_337,Rock,1,0,0,0
205,4,Track_319,Rock,1,1,1,1
206,4,Track_312,Rock,1,0,0,0
207,4,Track_427,Rock,1,1,0,0
208,4,Track_402,Rock,1,0,1,1
209,4,Track_361,Rock,1,1,1,0
210,4,Track_391,Rock,0,1,1,1
211,4,Track_314,Rock,0,0,1,1
212,4,Track_309,Rock,0,0,0,0
213,4,Track_372,Rock,1,1,1,1
214,4,Track_292,Rock,0,0,0,0
215,4,Track_343,Rock,0,1,0,1
216,4,Track_304,Rock,1,0,0,0
217,4,Track_315,Rock,1,0,1,1
218,4,Track_341,Rock,0,0,0,1
219,4,Track_383,Rock,0,1,0,1
220,4,Track_387,Rock,0,0,1,0
221,4,Track_386,Rock,1,1,1,1
222,4,Track_319,Rock,0,0,1,0
223,4,Track_420,Rock,0,1,0,1
224,4,Track_424,Rock,0,0,0,1
225,4,Track_841,Ballad,0,0,0,0
226,4,Track_834,Ballad,0,0,0,0
227,4,Track_106,Pop,0,0,0,0
228,4,Track_637,EDM,0,0,0,0
229,4,Track_778,Ballad,0,0,0,0
230,4,Track_504,Classic,0,0,0,0
231,4,Track_814,Ballad,0,0,0,0
232,4,Track_520,Classic,0,0,0,0
233,4,Track_778,Ballad,0,0,0,0
234,4,Track_553,Classic,0,0,0,0
235,4,Track_716,Ballad,0,0,0,0
236,4,Track_215,Hiphop,0,0,0,0
237,4,Track_23,Pop,0,0,0,0
238,4,Track_21,Pop,0,0,0,0
239,4,Track_698,EDM,0,0,0,0
240,4,Track_144,Hiphop,0,0,0,0
241,5,Track_291,Rock,1,1,3,1
242,5,Track_418,Rock,1,1,2,1
243,5,Track_363,Rock,1,1,3,1
244,5,Track_422,Rock,1,1,5,1
245,5,Track_391,Rock,1,1,4,1
246,5,Track_416,Rock,1,1,5,1
247,5,Track_389,Rock,1,1,3,0
248,5,Track_319,Rock,1,0,3,0
249,5,Track_340,Rock,1,1,1,1
250,5,Track_409,Rock,1,0,5,0
251,5,Track_366,Rock,1,1,5,1
252,5,Track_301,Rock,1,0,5,1
253,5,Track_305,Rock,1,1,4,1
254,5,Track_370,Rock,1,1,2,1
255,5,Track_329,Rock,0,0,2,1
256,5,Track_303,Rock,1,1,1,1
257,5,Track_342,Rock,1,1,1,1
258,5,Track_302,Rock,1,1,5,0
259,5,Track_291,Rock,1,1,5,1
260,5,Track_393,Rock,1,0,1,0
261,5,Track_327,Rock,1,0,2,1
262,5,Track_372,Rock,1,1,3,1
263,5,Track_21,Pop,0,0,0,0
264,5,Track_7,Pop,0,0,0,0
265,5,Track_149,Hiphop,1,0,0,0
266,5,Track_813,Ballad,0,0,0,0
267,5,Track_872,Jazz,1,0,0,0
268,5,Track_264,Hiphop,0,0,0,0
269,5,Track_798,Ballad,0,0,0,0
270,5,Track_76,Pop,0,0,0,0
271,5,Track_245,Hiphop,0,0,0,0
272,5,Track_177,Hiphop,0,0,0,0
273,5,Track_2,Pop,0,0,0,0
274,5,Track_691,EDM,0,0,0,0
275,5,Track_637,EDM,1,0,0,0
276,5,Track_876,Jazz,0,0,0,0
277,5,Track_957,Jazz,1,0,0,0
278,5,Track_678,EDM,0,0,0,0
279,5,Track_696,EDM,0,0,0,0
280,5,Track_508,Classic,0,0,0,0
281,5,Track_631,EDM,0,0,0,0
282,5,Track_613,EDM,0,0,0,0
283,5,Track_967,Jazz,0,0,0,0
284,5,Track_179,Hiphop,0,0,0,0
285,5,Track_523,Classic,0,0,0,0
286,5,Track_67,Pop,0,0,0,0
287,5,Track_200,Hiphop,0,0,0,0
288,5,Track_739,Ballad,0,0,0,0
289,5,Track_966,Jazz,0,0,0,0
290,5,Track_526,Classic,0,0,0,0
291,5,Track_255,Hiphop,0,0,0,0
292,5,Track_61,Pop,0,0,0,0
293,5,Track_82,Pop,1,0,0,0
294,5,Track_527,Classic,0,0,0,0
295,5,Track_817,Ballad,1,0,0,0
296,5,Track_953,Jazz,0,0,0,0
297,5,Track_710,EDM,0,0,0,0
298,5,Track_849,Ballad,0,0,0,0
299,5,Track_993,Jazz,0,0,0,0
300,5,Track_278,Hiphop,0,0,0,0
301,6,Track_887,Jazz,0,1,5,1
302,6,Track_897,Jazz,1,1,2,1
303,6,Track_885,Jazz,1,1,5,0
304,6,Track_862,Jazz,1,1,4,1
